profile_id,profile_text
-1500,"I am a big foodie and I love trying new places, restaurants and things to eat. I love to travel but I also work for a major airline at the airport!"
-1499,My name is Kelly and I am a natural born entrepreneur. I truly love all that it has to offer. I love to travel and take advantage of the many things our space has to offer.. Being able to offer beautiful rooms with all amenities and comforts is not something I would ever compromise on.
-1498,"Married to the love of my life who is a doctor.  I love to travel and meet people from all over the world.  I'm interested in art, books, movies and movies."
-1497,"I am open minded, honest, clean ,fun and clean person with a really good sense of humor and I like to give a good impression of my  business to my guests from other parts of the world."
-1496,"My name is Beth.  I have lived in Brooklyn, NY all my life.  I'm a mother of 2 beautiful children, & a business owner.  I love traveling & spending time with my family & friends."
-1495,"Husband & wife; started as Airbnb hosts. We love traveling, movies, skyshow, fighting, fitness, outdoor activities, bikes, foodie spot, new experiences, new places!We have experience with Airbnb hosts from multiple countries, so we understand the journey an host goes through to make your stay wonderful."
-1494,"I am an easygoing man and if it suits your needs; I will go above and beyond. One day, I hope, our traveling physician plans to visit every nation that is yet unknown to science."
-1493,We are longtime residents of Houston. We love our city and are excited to share it with people from all around the world.  We look forward to sharing an experience with you and your family. Welcome to Houston!
-1492,Hi! Thank you for checking out my home.I bought this unit in December 2018 with the hope of opening this other unit to guests during their short stays. So far so good!I hope you enjoy the space!
-1491,"I'm a proud mother of three great kids and a lovely husband, I have my own business. I love traveling, practicing yoga, watching Grey's Anatomy, and being home with my 2 young teens"
-1490,"I'm an entrepreneur from the so-called Silicon Valley of the US. I am originally from Canada and of course speak fluent English and French. I work for myself, so I go by a 'no media' policy but do social media for clients and on sites such as Facebook, Twitter, and of course Airbnb."
-1489,"I am an art student and painter with a love for travel, the outdoors and raising a family with my husband, Juan. We both work full time, but are down to earth and enjoy traveling whenever we can. We love interacting with new people and introducing ourselves!"
-1488,"I love San Diego, Mexico,  L.A., northern CA, and the Pan-Pacific Coastal regions of the Southwest.  I am a corporate relocation specialist with international shopping sites.Born and raised in San Diego."
-1487,"Slightly old, slightly old at heart but very much a fresh, new era of life!! I love cooking, travel, reading, creating and hanging out in nature with family and friends!!!"
-1486,"Originally from Italy I lived in the US for 11 years, grew up and am still together with my family. I work as a masseuse in LA and I am using the money I make from this service to travel and see more and more of the world.Also I found Airbnb because I love the Airbnb community!"
-1485,"Simple folks who share a passion for travel.  We love to host our friends and guests in our home, to bring peace of mind for them during their adventure and to be able to really enjoy their stay."
-1484,We are an eclectic duo that enjoys life to the fullest. I am a natural first responder and champion for humans and pets. I have a full-time position. I love coffee and I know you do too. I am open to food and wine with no drugs or drinking. I love movies and I grew up reading books.
-1483,Hello there! Thank you for your interest in my home. I am a very friendly host. I work on weekends but am always available to answer any questions you may have. I will try to make your stay as comfortable and pleasant as possible. I hope you are proud to call my home.
